"Hugo_Symbol","LUAD","COAD","pval","or","ci.up","ci.low","adjPval"
"SCARB1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SCP2D1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SELENBP1",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SLC39A3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SNRNP40",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SNX7",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SOX14",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SUSD3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TAGLN2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TAGLN3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"THAP6",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TMEM176A",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TMIGD2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TMOD3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TNFAIP8L3",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TNNI2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TRA2A",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"TREM2",5,2,0.705337593657797,1.8525157250936,19.5361909145989,0.301632125412116,0.836633117308484
"SETD2",42,28,0.708684174916924,1.11570726262965,1.90158074150277,0.663430334245465,0.840087249355686
"CCDC40",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"FAM13C",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"FIG4",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"GBP6",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"HIPK2",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"KCNH2",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"KIF6",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"KRT6A",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"OR6T1",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"PPP2R1A",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"SP100",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"ZNF248",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"ZNF518B",16,14,0.709130252263852,0.840141731035306,1.88003121691273,0.379746881360169,0.840087249355686
"GRM7",43,29,0.713266035632238,1.10230021072476,1.86307276091616,0.660333438135262,0.844911855601257
"BRCA1",19,12,0.715811404122476,1.17471806313005,2.68323367038812,0.534959552905119,0.847400914151728
"DRC1",19,12,0.715811404122476,1.17471806313005,2.68323367038812,0.534959552905119,0.847400914151728
"GDF10",19,12,0.715811404122476,1.17471806313005,2.68323367038812,0.534959552905119,0.847400914151728
"NRP2",19,12,0.715811404122476,1.17471806313005,2.68323367038812,0.534959552905119,0.847400914151728
"OR6N2",19,12,0.715811404122476,1.17471806313005,2.68323367038812,0.534959552905119,0.847400914151728
"POT1",19,12,0.715811404122476,1.17471806313005,2.68323367038812,0.534959552905119,0.847400914151728
"ZNF33A",19,12,0.715811404122476,1.17471806313005,2.68323367038812,0.534959552905119,0.847400914151728
"CHL1",45,30,0.716872987468945,1.11631633182169,1.86834358065314,0.675257455284193,0.847955934803972
"PDGFRA",45,30,0.716872987468945,1.11631633182169,1.86834358065314,0.675257455284193,0.847955934803972
"AK5",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"ATP1A3",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"DYNC1I1",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"GAB4",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"GAK",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"MRC2",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"MYBPC1",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"PABPC5",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"PLA2G4A",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"POU3F4",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"TSC2",17,15,0.717105591764815,0.832646617888512,1.81184963128614,0.386452047472875,0.847955934803972
"SLFN11",18,15,0.72448907439943,0.883048245790542,1.90491162110742,0.415123159788203,0.856535016170558
"TTC17",18,15,0.72448907439943,0.883048245790542,1.90491162110742,0.415123159788203,0.856535016170558
"CFAP74",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"EYA1",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"F13B",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"IGSF22",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"KCNT1",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"MROH9",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"OR5K3",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"ZZZ3",21,13,0.725158022639325,1.19979825898284,2.6383906769187,0.56619152790856,0.856719199502063
"SLITRK1",49,33,0.727842464476551,1.10498599653121,1.80737487181466,0.682913468161706,0.85981460777895
"ANO2",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"BCAS3",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"CEP126",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"KCTD8",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"PDCD11",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"R3HDM1",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"TXLNB",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"URB2",19,16,0.72996937038211,0.873333771427381,1.8382915891668,0.420037619680407,0.86171742185111
"ADAMTS14",22,14,0.733202222083597,1.16648799604327,2.49497835856413,0.563366993015279,0.865151416039272
"ARHGEF12",22,14,0.733202222083597,1.16648799604327,2.49497835856413,0.563366993015279,0.865151416039272
"ETNPPL",22,14,0.733202222083597,1.16648799604327,2.49497835856413,0.563366993015279,0.865151416039272
"KIF5A",22,14,0.733202222083597,1.16648799604327,2.49497835856413,0.563366993015279,0.865151416039272
"ZNF648",22,14,0.733202222083597,1.16648799604327,2.49497835856413,0.563366993015279,0.865151416039272
"C6orf118",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"CDH22",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"DLGAP1",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"EYA4",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"HTR1A",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"ITGAE",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"OR6N1",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"USP31",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"ZIM2",20,17,0.735780228010079,0.864708364182289,1.78007733624027,0.424649404471595,0.867088400643006
"F8",49,39,0.736473683253506,0.921881724777743,1.47088875707774,0.581009260130084,0.867088400643006
"ABHD1",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"ABHD12B",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"ABHD17B",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"ALG3",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"ANKS4B",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"AP5M1",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"ARGFX",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"ATL2",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"BVES",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"C8orf33",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CASP9",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CCL3L3",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CD300E",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CD5",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CELA3A",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CLEC4G",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CRYBA4",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"CTTN",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"DPEP1",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"DPRX",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"FGF18",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"FGF6",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"FOXA1",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"FUT10",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"FXYD5",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"GAL3ST3",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"GDI1",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"GIMAP2",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"GLIPR1L2",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"HEXA",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
"IL22RA1",6,3,0.740556857302693,1.48144265706042,9.20072979655524,0.314425954741524,0.867088400643006
